unit,trip_id,toll_loc_id_start,toll_loc_id_end,toll_loc_name_start,toll_loc_name_end,toll_system_type,entry_time,exit_time,tag_cost,cash_cost,license_plate_cost
0,2000,127000402,127000000,127000402,127000000,ticketSystem1,2023-12-11T11:48:18Z,2023-12-11T11:48:18Z,1.33,,1.72
0,2000,126005400,126002800,126005400,126002800,ticketSystem1,2023-12-11T13:23:51Z,2023-12-11T13:23:51Z,8.81,8.85,
0,2000,126002800,126003200,126002800,126003200,ticketSystem1,2023-12-11T13:53:09Z,2023-12-11T13:53:09Z,1.76,1.8,
0,2000,127000402,127000000,127000402,127000000,ticketSystem1,2023-12-11T11:48:18Z,2023-12-11T11:48:18Z,1.33,,1.72
0,2000,126005400,126002800,126005400,126002800,ticketSystem1,2023-12-11T13:23:51Z,2023-12-11T13:23:51Z,8.81,8.85,
0,2000,126002800,126003200,126002800,126003200,ticketSystem1,2023-12-11T13:53:09Z,2023-12-11T13:53:09Z,1.76,1.8,
2000,2000_0,127000402,127000000,127000402,127000000,ticketSystem1,2023-12-11T11:48:18Z,2023-12-11T11:48:18Z,1.33,,1.72
2000,2000_0,126005400,126002800,126005400,126002800,ticketSystem1,2023-12-11T13:23:51Z,2023-12-11T13:23:51Z,8.81,8.85,
2000,2000_0,126002800,126003200,126002800,126003200,ticketSystem1,2023-12-11T13:53:09Z,2023-12-11T13:53:09Z,1.76,1.8,
